index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks;diff_to_basecase;annual difference;geometry
1;CID83;-1.486787;41.475476;41.475476;-1.486787;CEMEX SAB de CV;LINESTRING (-1.486786987051543 41.47547601272552, -3.743959985744326 39.93433201448801, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID1', 'PIPEID4', 'PIPEID6'];733.8417775276838;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1680000.0000192;58563507.59951642;4005252.757860486;45049104.09699266;32.66800167506341;642600.0000073438;419067.6431984551;1436413.440016416;1042085.3140530456;0.7254772790493634;19.11296731431092;51.78096898937433;33.492701964464366;393923.5846065479;83.47879653422972;85.27367095383869;137.474125459937;0.7254772790493635;1.0;0.2206425778335701;0.889678711083215;8.97198536953249;15.1;POINT (-1.486787 41.475476)
2;CID89;-5.775146;43.33011;43.33011;-5.775146;Corporacion Masaveu SA;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID1', 'PIPEID3'];397.31591276580014;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;29812667.59759492;28.785879990033397;497249.999986536;310483.63660127594;1111510.399969904;806375.5406052356;0.7254772790493634;11.402445321530104;40.188325311563496;32.067913333704865;291854.6184051994;64.78969198942332;72.25623864526835;116.4880449694726;0.2050261875640362;0.2823946686068698;0.2823946686068698;0.1411973343034349;3.1499673072829495;4.1;POINT (-5.775146 43.33011)
0;CID87;-5.722483;43.560582;43.560582;-5.722483;Corporacion Masaveu SA;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID2', 'PIPEID1', 'PIPEID3'];423.4432525201001;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1430000.0000664;49848699.92276191;3409233.002345825;32104020.644358456;28.303422846414787;546975.000025398;340167.6959142931;1222661.440056773;887013.0947309638;0.7254772790493634;12.129483140422662;40.43290598683745;31.939812908759816;319757.6341594355;65.18399323225228;72.37271889559726;116.675828846585;0.4305549939010549;0.5926990408493343;0.3103043722424645;0.437546854728102;3.1499673072829495;4.5;POINT (-5.722483 43.560582)
1;CID88;-5.619632;42.798654;42.798654;-5.619632;Corporacion Masaveu SA;LINESTRING (-5.61963198548489 42.79865401334181, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID1', 'PIPEID3'];336.52721122372674;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;45158728.980049625;30.00211169492693;715274.99988372;451116.3031386795;1598864.9597400778;1159940.2005596017;0.7254772790493634;10.516466936655425;40.51857863158236;32.39084315304583;424049.3249503587;65.32211056413684;72.9094217846282;117.54107552209508;0.7254772790493634;1.0;0.4073009591506656;0.7963495204246671;3.149967307283873;5.9;POINT (-5.619632 42.798654)
0;CID76;-2.773979;43.206524;43.206524;-2.773979;CRH PLC;;;;CALCINED_CLAY_CEMENT;1;1;LL;1.0;829999.9999344001;7540512.220129489;951938.4235720516;4548898.977063082;7.531594646084589;0.0;440634.99119494914;709656.6399439116;274488.9699748192;0.3867912375152492;0.0;7.531594646084589;71.28140092812086;414196.8917232522;22.77404281975194;78.81299557420544;238.3148085237136;0.3867912375152492;1.0;1.0;0.5;8.023029902759077;6.7;POINT (-2.773979 43.206524)
0;CID90;-2.899342;43.204824;43.204824;-2.899342;HeidelbergCement AG;LINESTRING (-2.899341986773885 43.20482401214273, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID3'];554.6413665672219;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;29968022.22009029;28.905383545802295;497249.999986536;313434.74830257875;1111510.399969904;806375.5406052356;0.7254772790493634;15.00105314964144;43.90643669544374;32.3727152076825;294628.66340442403;70.7838529671801;76.27915190312623;122.97359292042896;0.2005615138552133;0.2753908284251966;0.2753908284251966;0.1376954142125983;5.761622770581766;7.5;POINT (-2.899342 43.204824)
2;CID92;-1.997062;43.285684;43.285684;-1.997062;HeidelbergCement AG;LINESTRING (-1.997061987179091 43.28568401179726, -2.899341986773885 43.20482401214273, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID0', 'PIPEID3'];629.3864682863639;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;49517959.92695922;29.406121891657293;804167.9999999999;510871.9699017956;1797568.8192000005;1304095.3358571937;0.7254772790493635;16.415704698338605;45.82182658999589;32.62661843372833;480219.65170768776;73.8717527576195;78.44844502372422;126.47082332325638;0.5249157651941501;0.7216961021084894;0.4463052736832928;0.498543465266843;5.812637360070781;12.2;POINT (-1.997062 43.285684)
1;CID91;-4.329333;36.714681;36.714681;-4.329333;HeidelbergCement AG;LINESTRING (-4.329332984777801 36.71468101680755, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID1', 'PIPEID4'];289.7677700304677;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30757882.057414733;29.51296803606832;497249.999986536;325824.49684813345;1111510.399969904;806375.5406052356;0.7254772790493634;17.54032593913687;47.05329397520519;33.65237486039224;306275.02703724545;75.8570654563742;80.70566883559744;130.10981137236473;0.7254772790493634;1.0;0.2783038978915105;0.8608480510542447;5.618883149263198;7.3;POINT (-4.329333 36.714681)
1;CID104;-8.100041;37.135933;37.135933;-8.100041;InterCement Participacoes SA;;[];;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;32598240.447875507;30.92862833646109;497249.999986536;321076.0557911071;1111510.399969904;806375.5406052356;0.7254772790493634;5.782646740017084;36.71127507647818;33.1619380761746;301811.49244364066;59.18415824258391;69.87321315265278;112.64624547988096;0.2369649403883542;0.3278653065020352;0.3278653065020352;0.1639326532510176;0.3441059391284256;0.4;POINT (-8.100040999999999 37.135933)
0;CID103;-9.009904;38.922169;38.922169;-9.009904;InterCement Participacoes SA;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID0', 'PIPEID4'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1179999.9999384;41133892.23990006;2813213.246413474;27373218.1397511;29.050701253018765;451349.999976438;286672.2981310061;1008909.4399473316;731940.8753002074;0.7254772790493635;8.968151656233143;38.01885290925191;32.61963203614866;269471.96024314564;61.29217255720952;70.63848494540056;113.87997998750066;0.4520561939662251;0.6241406792224564;0.2962753727204212;0.4760029928622458;0.8358085167260754;1.0;POINT (-9.009904000000001 38.922169)
