PORT_NAME;VID;Latitude;Longitude;geometry
Port Baltiysk Outer Roads;PID161;54.604542804;19.80356472115065;POINT (54.604542804 19.80356472115065)
Port Baltiysk Outer Roads;PID162;54.720297977;19.792961479528984;POINT (54.720297977 19.79296147952898)
Tianjin Gang;PID163;39.034877624;118.12464888175;POINT (39.034877624 118.12464888175)
;PID164;38.720666812;-27.014536508;POINT (38.720666812 -27.014536508)
Edremit Harbour;PID165;39.4411512785;26.068619105462;POINT (39.4411512785 26.068619105462)
Tuzla Liman;PID166;40.7378373985;29.2749926725;POINT (40.7378373985 29.2749926725)
Dikili Harbour;PID167;38.964753742;26.75528142879336;POINT (38.964753742 26.75528142879336)
Izmir Harbour;PID168;38.752503418;26.56758063625;POINT (38.752503418 26.56758063625)
Kemer Harbour;PID169;36.376838078000006;30.579087515;POINT (36.37683807800001 30.579087515)
Antalya Harbour;PID170;36.351906652;30.698340665;POINT (36.351906652 30.698340665)
Finike Liman;PID171;36.1322731285;30.461949473810737;POINT (36.1322731285 30.46194947381074)
Kemer Harbour;PID172;36.5893647115;30.628449632;POINT (36.5893647115 30.628449632)
Bozcaada Harbour;PID173;39.9370968805;25.983333005;POINT (39.9370968805 25.983333005)
Bozcaada Harbour;PID174;39.792301808000005;25.982993155493944;POINT (39.792301808 25.98299315549394)
Gökçeada Harbour;PID175;39.9620746165;25.887499982;POINT (39.9620746165 25.887499982)
Sendai Ku;PID176;38.2571900215;141.11574758525;POINT (38.2571900215 141.11574758525)
;PID177;35.4128625523299;139.8401666725288;POINT (35.4128625523299 139.8401666725288)
A;PID178;44.4955512505;-63.44296344025;POINT (44.4955512505 -63.44296344025)
B;PID179;44.537526313;-63.4486659005;POINT (44.537526313 -63.4486659005)
;PID180;32.47091474477202;130.4813324706629;POINT (32.47091474477202 130.4813324706629)
HH;PID181;47.795416633;-54.12360243854654;POINT (47.795416633 -54.12360243854654)
AA;PID182;47.727485499;-54.01999732625287;POINT (47.727485499 -54.01999732625287)
Port of Dhamra;PID183;20.909220557;87.195817740856;POINT (20.909220557 87.195817740856)
Port of New Mangalore;PID184;12.9609502845;74.66079894167596;POINT (12.9609502845 74.66079894167596)
Al Khums Port;PID185;32.675336329000004;14.304915714472498;POINT (32.675336329 14.3049157144725)
;PID186;46.499060215;-72.23523545441147;POINT (46.499060215 -72.23523545441147)
Port of Gangavaram;PID187;17.521428968000002;83.23825253575001;POINT (17.521428968 83.23825253575001)
;PID188;28.4047702835;-16.269672418124657;POINT (28.4047702835 -16.26967241812466)
;PID189;46.70546893961728;-71.51712507940829;POINT (46.70546893961728 -71.51712507940829)
No6;PID190;37.829173961;121.12673273716132;POINT (37.829173961 121.1267327371613)
;PID191;24.8633611245;119.0091932995987;POINT (24.8633611245 119.0091932995987)
San Francisco Bay, Temporary Anchorage Number 7;PID192;37.8218918055;-122.38544870040568;POINT (37.8218918055 -122.3854487004057)
San Francisco Bay, Anchorage Number 14;PID193;37.7191834425;-122.3300105515;POINT (37.7191834425 -122.3300105515)
