Country;VID;Country_code;Region;Sub_region;Latitude;Longitude;Capacity;capacity t/hh;Type;Unnamed: 10;geometry;1_closest_olivine;2_closest_olivine;3_closest_olivine;4_closest_olivine;1_closest_port;1_closest_biomass;1_closest_clay;2_closest_clay;3_closest_clay
Ireland;CID74;372;Europe;Northern Europe;54.130891;-7.578912;1.13;64.49771689;Integrated;;POINT (54.130891 -7.578912);OID2;OID1;OID3;OID4;PID672;BID1;CLID39;CLID36;CLID32
Spain;CID75;724;Europe;Southern Europe;38.3792;-6.483272;;74.20091324;Integrated;;POINT (38.3792 -6.483272);OID2;OID3;OID1;OID4;PID946;BID1;CLID49;CLID41;CLID47
Spain;CID76;724;Europe;Southern Europe;43.206524;-2.773979;0.83;47.37442922;Integrated;;POINT (43.206524 -2.773979);OID2;OID3;OID1;OID4;PID524;BID1;CLID49;CLID41;CLID47
Spain;CID77;724;Europe;Southern Europe;42.874825;-4.15978;2.9;165.5251142;Integrated;;POINT (42.874825 -4.15978);OID2;OID3;OID1;OID4;PID858;BID1;CLID49;CLID41;CLID47
Spain;CID78;724;Europe;Southern Europe;40.244961;-3.474441;1.055;60.21689498;Integrated;;POINT (40.244961 -3.474441);OID2;OID3;OID1;OID4;PID524;BID1;CLID49;CLID28;CLID41
Spain;CID79;724;Europe;Southern Europe;42.882983;-2.190187;0.815;46.51826484;Integrated;;POINT (42.882983 -2.190187);OID2;OID3;OID1;OID4;PID618;BID1;CLID49;CLID28;CLID41
Spain;CID80;724;Europe;Southern Europe;41.941676;-4.46587;1.45;82.76255708;Integrated;;POINT (41.941676 -4.46587);OID2;OID3;OID1;OID4;PID858;BID1;CLID49;CLID41;CLID47
Spain;CID81;724;Europe;Southern Europe;37.359736;-5.865094;1.87;106.7351598;Integrated;;POINT (37.359736 -5.865094);OID2;OID3;OID1;OID4;PID946;BID1;CLID49;CLID41;CLID28
Spain;CID82;724;Europe;Southern Europe;39.436556;-0.77638;;74.20091324;Integrated;;POINT (39.436556 -0.77638);OID2;OID3;OID1;OID4;PID1391;BID1;CLID49;CLID28;CLID40
Spain;CID83;724;Europe;Southern Europe;41.475476;-1.486787;1.68;95.89041096;Integrated;;POINT (41.475476 -1.486787);OID2;OID3;OID1;OID4;PID618;BID1;CLID49;CLID28;CLID43
Spain;CID84;724;Europe;Southern Europe;38.378014;-0.542867;1.53;87.32876712;Integrated;;POINT (38.378014 -0.542867);OID2;OID3;OID4;OID5;PID848;BID1;CLID28;CLID49;CLID40
Spain;CID85;724;Europe;Southern Europe;40.576824;0.54329;2.87;163.8127854;Integrated;;POINT (40.576824 0.5432900000000001);OID3;OID2;OID1;OID4;PID2185;BID1;CLID28;CLID49;CLID40
Spain;CID86;724;Europe;Southern Europe;39.934332;-3.74396;0.936;53.42465753;Integrated;;POINT (39.934332 -3.74396);OID2;OID3;OID1;OID4;PID932;BID1;CLID49;CLID28;CLID41
Spain;CID87;724;Europe;Southern Europe;43.560582;-5.722483;1.43;81.62100457;Integrated;;POINT (43.560582 -5.722483);OID2;OID3;OID1;OID4;PID878;BID1;CLID49;CLID41;CLID47
Spain;CID88;724;Europe;Southern Europe;42.798654;-5.619632;1.87;106.7351598;Integrated;;POINT (42.798654 -5.619632);OID2;OID3;OID1;OID4;PID878;BID1;CLID49;CLID41;CLID47
Spain;CID89;724;Europe;Southern Europe;43.33011;-5.775146;;74.20091324;Integrated;;POINT (43.33011 -5.775146);OID2;OID3;OID1;OID4;PID878;BID1;CLID49;CLID41;CLID47
Spain;CID90;724;Europe;Southern Europe;43.204824;-2.899342;;74.20091324;Integrated;;POINT (43.204824 -2.899342);OID2;OID3;OID1;OID4;PID524;BID1;CLID49;CLID41;CLID47
Spain;CID91;724;Europe;Southern Europe;36.714681;-4.329333;;74.20091324;Integrated;;POINT (36.714681 -4.329333);OID2;OID3;OID1;OID4;PID37;BID1;CLID49;CLID28;CLID41
Spain;CID92;724;Europe;Southern Europe;43.285684;-1.997062;2.87;163.8127854;Integrated;;POINT (43.285684 -1.997062);OID2;OID3;OID1;OID4;PID618;BID1;CLID49;CLID28;CLID43
Spain;CID93;724;Europe;Southern Europe;36.966885;-1.904785;1.39;79.33789954;Integrated;;POINT (36.966885 -1.904785);OID2;OID3;OID4;OID5;PID1304;BID1;CLID49;CLID28;CLID41
Spain;CID94;724;Europe;Southern Europe;36.618249;-6.073448;2.92;166.6666667;Integrated;;POINT (36.618249 -6.073448);OID2;OID3;OID1;OID4;PID525;BID1;CLID49;CLID28;CLID41
Spain;CID95;724;Europe;Southern Europe;40.009935;-3.901136;;74.20091324;Integrated;;POINT (40.009935 -3.901136);OID2;OID3;OID1;OID4;PID932;BID1;CLID49;CLID28;CLID41
Spain;CID96;724;Europe;Southern Europe;41.474698;2.183652;2.31;131.8493151;Integrated;;POINT (41.474698 2.183652);OID3;OID2;OID1;OID4;PID1052;BID1;CLID28;CLID25;CLID26
Spain;CID97;724;Europe;Southern Europe;39.663613;-0.246962;0.88;50.2283105;Integrated;;POINT (39.663613 -0.246962);OID2;OID3;OID1;OID4;PID753;BID1;CLID28;CLID49;CLID40
Spain;CID98;724;Europe;Southern Europe;37.902032;-4.764202;0.98;55.93607306;Integrated;;POINT (37.902032 -4.764202);OID2;OID3;OID1;OID4;PID739;BID1;CLID49;CLID28;CLID41
Spain;CID99;724;Europe;Southern Europe;37.359766;-6.672312;;74.20091324;Integrated;;POINT (37.359766 -6.672312);OID2;OID3;OID1;OID4;PID1106;BID1;CLID49;CLID41;CLID47
Spain;CID100;724;Europe;Southern Europe;42.717483;-7.450123;1.37;78.19634703;Integrated;;POINT (42.717483 -7.450123);OID2;OID3;OID1;OID4;PID817;BID1;CLID49;CLID41;CLID47
Spain;CID101;724;Europe;Southern Europe;42.553519;-6.768733;0.97;55.3652968;Integrated;;POINT (42.553519 -6.768733);OID2;OID3;OID1;OID4;PID42;BID1;CLID49;CLID41;CLID47
Spain;CID102;724;Europe;Southern Europe;41.402821;2.054826;;74.20091324;Integrated;;POINT (41.402821 2.054826);OID3;OID2;OID1;OID4;PID1052;BID1;CLID28;CLID25;CLID26
Portugal;CID103;620;Europe;Southern Europe;38.922169;-9.009904;1.18;67.35159817;Integrated;;POINT (38.922169 -9.009904000000001);OID2;OID3;OID1;OID4;PID2728;BID1;CLID49;CLID41;CLID47
Portugal;CID104;620;Europe;Southern Europe;37.135933;-8.100041;;74.20091324;Integrated;;POINT (37.135933 -8.100040999999999);OID2;OID3;OID1;OID4;PID2681;BID1;CLID49;CLID41;CLID47
Portugal;CID105;620;Europe;Southern Europe;40.289074;-8.418212;1.5;85.61643836;Integrated;;POINT (40.289074 -8.418212);OID2;OID3;OID1;OID4;PID989;BID1;CLID49;CLID41;CLID47
Portugal;CID106;620;Europe;Southern Europe;39.685773;-8.905132;0.62;35.38812785;Integrated;;POINT (39.685773 -8.905132);OID2;OID3;OID1;OID4;PID2420;BID1;CLID49;CLID41;CLID47
Portugal;CID107;620;Europe;Southern Europe;39.655677;-8.987387;2.0;114.1552511;Integrated;;POINT (39.655677 -8.987387);OID2;OID3;OID1;OID4;PID2728;BID1;CLID49;CLID41;CLID47
Portugal;CID108;620;Europe;Southern Europe;38.501466;-8.935936;;74.20091324;Integrated;;POINT (38.501466 -8.935936);OID2;OID3;OID1;OID4;PID487;BID1;CLID49;CLID41;CLID47
