J,R,RESOURCE_CONV_RATE
CALCINED_CLAY_BIOMASS_CEMENT,CLAY,-0.3486606941880881
CCS_CALCINED_CLAY_CEMENT,CLAY,-0.3486606941880881
CCS_CALCINED_CLAY_BIOMASS_CEMENT,CLAY,-0.3486606941880881
NET,CLAY,0.0
SMALL_CO2_COMPRESSOR,CLAY,0.0
LARGE_CO2_COMPRESSOR,CLAY,0.0
XL_CO2_COMPRESSOR,CLAY,0.0
XXL_CO2_COMPRESSOR,CLAY,0.0
XXXL_CO2_COMPRESSOR,CLAY,0.0
INJ_WELL,CLAY,0.0
SALT_CAVERN,CLAY,0.0
PRES_CYL_VESSEL,CLAY,0.0
