OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
SID54;0.01791139;58.90608782;56;STORAGE;20;604.044;0;0;1;0;1;1;0
SID55;-0.189424746;57.71737166;57;STORAGE;20;79.016;0;0;1;0;1;1;0
SID56;-0.266141683;58.5050536;58;STORAGE;20;233.24;0;0;1;0;1;1;0
SID57;1.032828881;56.75116877;59;STORAGE;20;277.508;0;0;1;0;1;1;0
SID58;0.464189354;57.11599256;60;STORAGE;20;206.108;0;0;1;0;1;1;0
SID60;-0.109882368;58.58919791;61;STORAGE;20;27.65;0;0;1;0;1;1;0
SID64;2.098288917;52.7563253;62;STORAGE;20;431.227368;0;0;1;0;1;1;0
SID65;1.949268322;53.41221502;63;STORAGE;20;193.109;0;0;1;0;1;1;0
SID68;0.510038307;57.90680972;64;STORAGE;20;21852.40221;0;0;1;0;1;1;0
SID69;0.117677472;58.78460253;65;STORAGE;20;8036.7876;0;0;1;0;1;1;0
SID70;1.256971648;59.26360488;66;STORAGE;20;1389.15;0;0;1;0;1;1;0
SID71;1.349296133;60.80170559;67;STORAGE;20;16360.99166;0;0;1;0;1;1;0
SID73;-2.24029165;58.19647436;68;STORAGE;20;209.125;0;0;1;0;1;1;0
SID74;1.449268637;57.43753242;69;STORAGE;20;8845.389;0;0;1;0;1;1;0
SID75;-2.678314764;58.13984376;70;STORAGE;20;736.103808;0;0;1;0;1;1;0
SID76;1.314870863;58.57685962;71;STORAGE;20;15.53664;0;0;1;0;1;1;0
SID77;1.402289001;58.73056033;72;STORAGE;20;132.048;0;0;1;0;1;1;0
SID78;1.351733829;61.11119113;73;STORAGE;20;2183.7816;0;0;1;0;1;1;0
SID79;0.958721235;57.98727857;74;STORAGE;20;193.2525;0;0;1;0;1;1;0
SID80;-3.173830198;58.04728858;75;STORAGE;20;76.86;0;0;1;0;1;1;0
SID81;1.622360491;59.40810414;76;STORAGE;20;4.56;0;0;1;0;1;1;0
SID82;0.991267105;57.62933157;77;STORAGE;20;105.0;0;0;1;0;1;1;0
SID83;-1.71367925;58.24446101;78;STORAGE;20;1109.52;0;0;1;0;1;1;0
SID84;0.057532184;58.37975968;79;STORAGE;20;507.6;0;0;1;0;1;1;0
SID85;1.046047033;60.63316236;80;STORAGE;20;22.0248;0;0;1;0;1;1;0
SID86;-1.924529914;58.32562071;81;STORAGE;20;4741.74;0;0;1;0;1;1;0
SID88;-1.116831038;58.5480616;82;STORAGE;20;228.305;0;0;1;0;1;1;0
SID89;-3.069787516;58.11731044;83;STORAGE;20;88.4646;0;0;1;0;1;1;0
SID90;-0.099272967;58.52309137;84;STORAGE;20;2138.83824;0;0;1;0;1;1;0
SID91;1.62214918;57.34975132;85;STORAGE;20;5265.988;0;0;1;0;1;1;0
SID92;-1.689003401;58.17504062;86;STORAGE;20;55.8432;0;0;1;0;1;1;0
SID93;-0.270809306;57.91356974;87;STORAGE;20;60.83;0;0;1;0;1;1;0
SID94;1.691080855;59.57640082;88;STORAGE;20;390.44544;0;0;1;0;1;1;0
SID95;1.700832541;60.87246079;89;STORAGE;20;254.43264;0;0;1;0;1;1;0
SID96;-1.778740868;58.31936376;90;STORAGE;20;805.72968;0;0;1;0;1;1;0
