OID;COUNTRYCODE;Latitude;Longitude;STORE_CAP_MEAN;geometry
SID112;GER;54.00780026;8.750188491;100;POINT (54.00780026083834 8.750188491418722)
SID113;GER;54.28069714;8.391113655;100;POINT (54.28069713652249 8.391113654992203)
SID114;GER;54.42432707;8.269028211;100;POINT (54.4243270710931 8.269028210607186)
SID115;GER;54.7977649;8.455747126;100;POINT (54.79776490097668 8.455747125548976)
SID116;NL;52.99269476;4.126057327;168;POINT (4.126057326609443 52.9926947636881)
SID117;NL;52.56102532;3.825024691;360;POINT (3.825024690923652 52.56102532383677)
SID118;NL;54.37006107;4.455489268;650;POINT (4.455489267548611 54.37006106847686)
SID119;NL;53.44140379;3.870463579;60;POINT (3.870463579329055 53.44140378669145)
SID120;NL;55.1169628;4.202735451;190;POINT (4.202735450793562 55.11696279664066)
SID121;NL;53.24260865;3.975541009;165;POINT (3.975541008766551 53.24260864991781)
SID122;NL;53.75379614;3.271238238;140;POINT (3.271238238482813 53.75379614447859)
SID123;NL;53.50956212;3.350756293;195;POINT (3.350756293192267 53.50956211929955)
SID124;NL;53.46412323;4.180016007;175;POINT (4.180016006590861 53.46412323089415)
