index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
16;CID91;-4.329333;36.714681;;;CALCINED_CLAY_BIOMASS_CEMENT;17;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;51903359.985534154;41.97665499688201;0.0;444754.39569259674;1111510.399969904;725054.9887642963;0.6523150739605571;0.0;41.97665499688201;45.93590042933638;444754.3956925969;75.26277639641035;87.91255542621839;157.62435101062667;0.14569579872474198;0.3467567959157395;0.028459037615383043;0.33252727710804797
29;CID104;-8.100041;37.135933;;;CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;15056848.770615682;13.63318483079266;0.0;722993.4463358099;1111510.399969904;429922.4831154287;0.38679123751524913;0.0;13.63318483079266;74.6734721086363;722993.4463358101;41.22403683361713;88.30665693942896;267.02175049386125;0.15615492162223973;0.3748048507865424;0.02804805487080292;0.3607808233511409
5;CID80;-4.46587;41.941676;;;CALCINED_CLAY_CEMENT;6;1;LL;1.0;1450000.0000415999;13173184.000440488;1663024.9570218914;17634196.6536329;14.212508401658013;0.0;803890.9085772231;1239761.6000355685;479528.923501643;0.38679123751524924;0.0;14.212508401658013;74.43967217434447;803890.9085772233;42.97579598016625;88.65218057600248;268.06654518400717;0.16782086639317628;0.4060277951078674;0.031222944321324997;0.3904163229472049
6;CID81;-5.865094;37.359736;;;CALCINED_CLAY_BIOMASS_CEMENT;7;1;LL;1.0;1869999.999696;16988864.88007747;2144728.737266315;75588888.43959373;42.472858950756816;0.0;644538.675490005;1598864.9597400778;1042963.714465792;0.6523150739605571;0.0;42.472858950756816;46.27886644444931;644538.6754900052;76.15245393813603;88.75172539520612;159.12895545657875;0.19319401177552584;0.44708123050503445;0.04105343539716705;0.42655451280645096
12;CID87;-5.722483;43.560582;;;CALCINED_CLAY_BIOMASS_CEMENT;13;1;LL;1.0;1430000.0000664;12991484.911009762;1640086.6817817257;57870627.50922353;42.519963752758166;0.0;493822.34631364286;1222661.4400567727;797560.487699355;0.6523150739605572;0.0;42.519963752758166;46.367111106859866;493822.34631364304;76.23691131523024;88.88707485961802;159.371632641699;0.21259700530726014;0.47849789815819954;0.03141666765316509;0.462789564331617
26;CID101;-6.768733;42.553519;;;CALCINED_CLAY_CEMENT;27;1;LL;1.0;969999.9999360001;8812405.847736273;1112506.3504541526;12169416.876892984;14.596784064029785;0.0;538739.7103518728;829357.7599452797;320788.3143121097;0.38679123751524924;0.0;14.596784064029785;74.57316767608636;538739.7103518731;44.137769081572195;89.16995174011615;269.6321821063936;0.22040112008432025;0.49940843342180985;0.020910535263610308;0.4889531657900047
24;CID99;-6.672312;37.359766;;;CALCINED_CLAY_BIOMASS_CEMENT;25;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;53036505.93627681;42.84830572824611;0.0;449040.1949237171;1111510.399969904;725054.9887642963;0.6523150739605571;0.0;42.84830572824611;46.37855383231015;449040.19492371724;76.82561779230758;89.22685956055626;159.98085555313716;0.23804020511187296;0.5279717356491468;0.02856330222733694;0.5136900845354784
19;CID94;-6.073448;36.618249;;;CALCINED_CLAY_BIOMASS_CEMENT;20;1;LL;1.0;2102400.0;19100208.304642424;2411271.4962362177;85793222.07729913;42.85827185378811;0.0;726243.0540048915;1797568.8192000003;1172581.2372456396;0.6523150739605571;0.0;42.85827185378811;46.381200005390774;726243.0540048919;76.84348673108465;89.23947185917888;160.00346899413546;0.2665666761602814;0.5741661948898635;0.046194459240716745;0.5510689652695051
33;CID108;-8.935936;38.501466;;;CALCINED_CLAY_BIOMASS_CEMENT;34;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;52934052.353475936;42.76949527993562;0.0;452179.6323926048;1111510.399969904;725054.9887642963;0.6523150739605571;0.0;42.76949527993562;46.70280669719837;452179.6323926049;76.6843132231528;89.47230197713398;160.42092581882306;0.2842057611878341;0.6028058731235869;0.028639678233723376;0.5884860340067253
15;CID90;-2.899342;43.204824;;;CALCINED_CLAY_BIOMASS_CEMENT;16;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;53365892.05257487;43.10167966386687;0.0;451226.4792646889;1111510.399969904;725054.9887642963;0.6523150739605571;0.0;43.10167966386687;46.604361470795;451226.4792646891;77.27990901352852;89.70604113466186;160.8400125218825;0.30184484621538676;0.6314223631173449;0.028616489993757988;0.6171141181204659
14;CID89;-5.775146;43.33011;;;CALCINED_CLAY_BIOMASS_CEMENT;15;1;LL;1.0;1299999.9999648002;11810440.827322502;1490987.8924192383;53499289.60217234;43.20429316356001;0.0;450688.64554513514;1111510.399969904;725054.9887642963;0.6523150739605571;0.0;43.20429316356001;46.54881198904004;450688.6455451353;77.46389167920856;89.75310515260006;160.92439677447865;0.31948393124293945;0.6600257687314945;0.028603405614149646;0.6457240659244197
28;CID103;-9.009904;38.922169;;;CALCINED_CLAY_BIOMASS_CEMENT;29;1;LL;1.0;1179999.9999384;10720246.289146446;1353358.2407773035;48346875.08478291;43.02292150855749;0.0;411575.8901890975;1008909.4399473317;658126.835938748;0.6523150739605572;0.0;43.02292150855749;46.832059394812546;411575.89018909767;77.13869820402297;89.85498090337003;161.10705668034743;0.3354947930367773;0.6860494188446142;0.02602365011311969;0.6730375937880544
1;CID76;-2.773979;43.206524;;;CALCINED_CLAY_BIOMASS_CEMENT;2;1;LL;1.0;829999.9999344001;7540512.220129489;951938.4235720517;34192688.322523065;43.24700349885918;0.0;288329.2757707652;709656.6399439116;462919.7235716131;0.652315073960557;0.0;43.24700349885918;46.642947374185354;288329.2757707653;77.54046992051141;89.88995087304454;161.16975669797387;0.34675667039993735;0.7043257498562085;0.018276331011594316;0.6951875843504114
