OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR
SID31;-2.092948131;58.2773108;57;STORAGE;20;0.0;0;0;1;0;1;1;0
SID32;-2.212548796;58.17111368;58;STORAGE;20;0.0;0;0;1;0;1;1;0
SID33;1.683194948;59.57500693;59;STORAGE;20;102.5325;0;0;1;0;1;1;0
SID34;1.38364997;61.02533292;60;STORAGE;20;592.2315;0;0;1;0;1;1;0
SID35;1.711237137;52.90913671;61;STORAGE;20;435.4623;0;0;1;0;1;1;0
SID36;-2.884395482;58.02051318;62;STORAGE;20;0.0;0;0;1;0;1;1;0
SID37;1.369184178;58.71720687;63;STORAGE;20;0.0;0;0;1;0;1;1;0
SID38;1.327078543;56.99690677;64;STORAGE;20;0.0;0;0;1;0;1;1;0
SID39;1.447904424;59.46596161;65;STORAGE;20;0.0;0;0;1;0;1;1;0
SID40;-2.193041678;58.23877412;66;STORAGE;20;0.0;0;0;1;0;1;1;0
SID41;-1.616391203;56.67399802;67;STORAGE;20;0.0;0;0;1;0;1;1;0
SID42;1.468365748;58.59035816;68;STORAGE;20;0.0;0;0;1;0;1;1;0
SID43;1.721860476;59.57469003;69;STORAGE;20;0.0;0;0;1;0;1;1;0
SID44;-0.0426822;61.04513353;70;STORAGE;20;0.0;0;0;1;0;1;1;0
SID45;-2.662760649;58.20706176;71;STORAGE;20;0.0;0;0;1;0;1;1;0
SID46;1.584463886;56.95215819;72;STORAGE;20;13693.05;0;0;1;0;1;1;0
SID47;1.257630775;58.37359571;73;STORAGE;20;8.6688;0;0;1;0;1;1;0
SID48;1.292373827;58.48189735;74;STORAGE;20;18.018;0;0;1;0;1;1;0
SID49;0.283913733;57.68460262;75;STORAGE;20;0.0;0;0;1;0;1;1;0
SID50;-1.611670978;56.72668691;76;STORAGE;20;12.495;0;0;1;0;1;1;0
SID51;1.102126368;53.83690733;77;STORAGE;20;0.0;0;0;1;0;1;1;0
SID52;-1.260142875;54.96733408;78;STORAGE;20;0.0;0;0;1;0;1;1;0
SID53;-0.111873804;54.38312363;79;STORAGE;20;0.0;0;0;1;0;1;1;0
SID54;0.01791139;58.90608782;80;STORAGE;20;604.044;0;0;1;0;1;1;0
SID55;-0.189424746;57.71737166;81;STORAGE;20;79.016;0;0;1;0;1;1;0
SID56;-0.266141683;58.5050536;82;STORAGE;20;233.24;0;0;1;0;1;1;0
SID57;1.032828881;56.75116877;83;STORAGE;20;277.508;0;0;1;0;1;1;0
SID58;0.464189354;57.11599256;84;STORAGE;20;206.108;0;0;1;0;1;1;0
SID59;1.950843673;52.52674352;85;STORAGE;20;0.0;0;0;1;0;1;1;0
SID60;-0.109882368;58.58919791;86;STORAGE;20;27.65;0;0;1;0;1;1;0
SID61;1.009227651;53.21527443;87;STORAGE;20;0.0;0;0;1;0;1;1;0
SID62;2.972574086;52.98999616;88;STORAGE;20;0.0;0;0;1;0;1;1;0
SID63;2.841526591;52.50611395;89;STORAGE;20;0.0;0;0;1;0;1;1;0
SID64;2.098288917;52.7563253;90;STORAGE;20;431.227368;0;0;1;0;1;1;0
SID65;1.949268322;53.41221502;91;STORAGE;20;193.109;0;0;1;0;1;1;0
SID66;1.284855036;53.91525654;92;STORAGE;20;0.0;0;0;1;0;1;1;0
SID67;2.289553062;54.02117059;93;STORAGE;20;0.0;0;0;1;0;1;1;0
SID68;0.510038307;57.90680972;94;STORAGE;20;21852.40221;0;0;1;0;1;1;0
SID69;0.117677472;58.78460253;95;STORAGE;20;8036.7876;0;0;1;0;1;1;0
SID70;1.256971648;59.26360488;96;STORAGE;20;1389.15;0;0;1;0;1;1;0
SID71;1.349296133;60.80170559;97;STORAGE;20;16360.99166;0;0;1;0;1;1;0
SID72;1.369053231;61.65806026;98;STORAGE;20;0.0;0;0;1;0;1;1;0
SID73;-2.24029165;58.19647436;99;STORAGE;20;209.125;0;0;1;0;1;1;0
SID74;1.449268637;57.43753242;100;STORAGE;20;8845.389;0;0;1;0;1;1;0
SID75;-2.678314764;58.13984376;101;STORAGE;20;736.103808;0;0;1;0;1;1;0
SID76;1.314870863;58.57685962;102;STORAGE;20;15.53664;0;0;1;0;1;1;0
SID77;1.402289001;58.73056033;103;STORAGE;20;132.048;0;0;1;0;1;1;0
SID78;1.351733829;61.11119113;104;STORAGE;20;2183.7816;0;0;1;0;1;1;0
SID79;0.958721235;57.98727857;105;STORAGE;20;193.2525;0;0;1;0;1;1;0
SID80;-3.173830198;58.04728858;106;STORAGE;20;76.86;0;0;1;0;1;1;0
SID81;1.622360491;59.40810414;107;STORAGE;20;4.56;0;0;1;0;1;1;0
SID82;0.991267105;57.62933157;108;STORAGE;20;105.0;0;0;1;0;1;1;0
SID83;-1.71367925;58.24446101;109;STORAGE;20;1109.52;0;0;1;0;1;1;0
SID84;0.057532184;58.37975968;110;STORAGE;20;507.6;0;0;1;0;1;1;0
SID85;1.046047033;60.63316236;111;STORAGE;20;22.0248;0;0;1;0;1;1;0
SID86;-1.924529914;58.32562071;112;STORAGE;20;4741.74;0;0;1;0;1;1;0
SID87;0.191594773;58.46002611;113;STORAGE;20;0.0;0;0;1;0;1;1;0
SID88;-1.116831038;58.5480616;114;STORAGE;20;228.305;0;0;1;0;1;1;0
SID89;-3.069787516;58.11731044;115;STORAGE;20;88.4646;0;0;1;0;1;1;0
SID90;-0.099272967;58.52309137;116;STORAGE;20;2138.83824;0;0;1;0;1;1;0
SID91;1.62214918;57.34975132;117;STORAGE;20;5265.988;0;0;1;0;1;1;0
SID92;-1.689003401;58.17504062;118;STORAGE;20;55.8432;0;0;1;0;1;1;0
SID93;-0.270809306;57.91356974;119;STORAGE;20;60.83;0;0;1;0;1;1;0
SID94;1.691080855;59.57640082;120;STORAGE;20;390.44544;0;0;1;0;1;1;0
SID95;1.700832541;60.87246079;121;STORAGE;20;254.43264;0;0;1;0;1;1;0
SID96;-1.778740868;58.31936376;122;STORAGE;20;805.72968;0;0;1;0;1;1;0
